학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 차의과학대학교 , 기존 , 경기 , 사립 , 13 , 501 ," 2,726 ", 890 ," 1,836 ", 498 , 172 , 326 ," 2,281 ", 808 ," 1,473 ", 6 , 2 , 4 
 대학교 , 한국성서대학교 , 기존 , 서울 , 사립 , 11 , 247 ," 1,682 ", 601 ," 1,081 ", 236 , 101 , 135 ," 1,049 ", 406 , 643 , 27 , 10 , 17 
 대학교 , 한국외국어대학교 , 기존 , 서울 , 사립 , 128 ," 3,833 "," 39,415 "," 15,861 "," 23,554 "," 3,809 "," 1,515 "," 2,294 "," 17,438 "," 7,147 "," 10,291 "," 1,776 ", 598 ," 1,178 "
 대학교 , 한국항공대학교 , 기존 , 경기 , 사립 , 12 , 939 ," 8,817 "," 6,792 "," 2,025 ", 928 , 706 , 222 ," 3,963 "," 3,034 ", 929 , 80 , 57 , 23 
 대학교 , 한성대학교 , 기존 , 서울 , 사립 , 93 ," 1,680 "," 17,810 "," 8,844 "," 8,966 "," 1,625 ", 814 , 811 ," 6,567 "," 3,346 "," 3,221 ", 182 , 41 , 141 
 대학교 , 한세대학교 , 기존 , 경기 , 사립 , 26 , 651 ," 5,849 "," 2,311 "," 3,538 ", 616 , 220 , 396 ," 2,624 ", 939 ," 1,685 ", 27 , 12 , 15 
 대학교 , 한신대학교 , 기존 , 경기 , 사립 , 60 ," 1,309 "," 11,757 "," 5,971 "," 5,786 "," 1,274 ", 629 , 645 ," 5,267 "," 2,564 "," 2,703 ", 139 , 92 , 47 
 대학교 , 한양대학교 , 기존 , 서울 , 사립 , 68 ," 3,567 "," 63,370 "," 37,859 "," 25,511 "," 3,547 "," 2,066 "," 1,481 "," 15,709 "," 9,134 "," 6,575 "," 1,856 ", 721 ," 1,135 "
 대학교 , 한양대학교 , 기존 , 경기 , 사립 , 64 ," 2,344 "," 33,952 "," 19,982 "," 13,970 "," 2,273 "," 1,287 ", 986 ," 9,176 "," 5,203 "," 3,973 ", 573 , 275 , 298 
 대학교 , 서울한영대학교 , 기존 , 서울 , 사립 , 19 , 202 ," 1,088 ", 430 , 658 , 202 , 73 , 129 , 695 , 250 , 445 , - , - , - 
 대학교 , 협성대학교 , 기존 , 경기 , 사립 , 24 ," 1,065 "," 8,087 "," 3,317 "," 4,770 "," 1,062 ", 418 , 644 ," 4,152 "," 1,662 "," 2,490 ", 190 , 81 , 109 
 대학교 , 호남대학교 , 기존 , 광주 , 사립 , 52 ," 1,714 "," 11,121 "," 5,290 "," 5,831 "," 1,703 ", 877 , 826 ," 7,074 "," 3,567 "," 3,507 ", 734 , 426 , 308 
 대학교 , 호남신학대학교 , 기존 , 광주 , 사립 , 4 , 139 , 215 , 103 , 112 , 139 , 67 , 72 , 526 , 241 , 285 , 2 , 1 , 1 
 대학교 , 홍익대학교 , 기존 , 서울 , 사립 , 52 ," 2,701 "," 36,142 "," 18,071 "," 18,071 "," 2,876 "," 1,415 "," 1,461 "," 12,136 "," 5,877 "," 6,259 "," 1,092 ", 259 , 833 
 대학교 , 남부대학교 , 기존 , 광주 , 사립 , 31 , 782 ," 4,100 "," 1,830 "," 2,270 ", 768 , 354 , 414 ," 3,053 "," 1,344 "," 1,709 ", 292 , 165 , 127 
 대학교 , 예원예술대학교 , 기존 , 경기 , 사립 , 11 , 120 ," 1,102 ", 370 , 732 , 113 , 32 , 81 , 408 , 123 , 285 , 9 , 5 , 4 
 대학교 , 한북대학교 , 폐교 , 경기 , 사립 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 대학교 , 광주대학교 , 기존 , 광주 , 사립 , 72 ," 1,745 "," 9,482 "," 4,138 "," 5,344 "," 1,721 ", 843 , 878 ," 6,963 "," 3,208 "," 3,755 ", 86 , 29 , 57 
 대학교 , 신경대학교 , 기존 , 경기 , 사립 , 17 , 259 ," 1,530 ", 795 , 735 , 163 , 93 , 70 , 569 , 317 , 252 , - , - , - 
 대학교 , 동명대학교 , 기존 , 부산 , 사립 , 63 ," 2,166 "," 12,768 "," 6,944 "," 5,824 "," 2,027 "," 1,172 ", 855 ," 7,835 "," 4,791 "," 3,044 ", 405 , 246 , 159 
 대학교 , 영산대학교 , 기존 , 부산 , 사립 , 66 , 966 ," 4,673 "," 1,933 "," 2,740 ", 938 , 424 , 514 ," 4,031 "," 1,901 "," 2,130 ", 385 , 203 , 182 
 대학교 , 송원대학교 , 기존 , 광주 , 사립 , 35 , 794 ," 4,162 "," 1,813 "," 2,349 ", 793 , 387 , 406 ," 2,980 "," 1,413 "," 1,567 ", 109 , 63 , 46 
 대학교 , 한국산업기술대학교 , 기존 , 경기 , 사립 , 35 ," 1,857 "," 16,686 "," 12,468 "," 4,218 "," 1,701 "," 1,258 ", 443 ," 6,799 "," 5,029 "," 1,770 ", 36 , 12 , 24 
 대학교 , 신한대학교 , 기존 , 경기 , 사립 , 8 , 360 ," 3,171 "," 1,384 "," 1,787 ", 359 , 208 , 151 ," 1,379 ", 673 , 706 , 31 , 16 , 15 
 대학교 , 신한대학교 , 기존 , 경기 , 사립 , 29 ," 1,222 "," 11,789 "," 5,048 "," 6,741 "," 1,218 ", 510 , 708 ," 4,959 "," 2,042 "," 2,917 ", 430 , 248 , 182 
 전공대학 , 국제예술대학교 , 기존 , 서울 , 사립 , 3 , 409 ," 7,181 "," 3,683 "," 3,498 ", 367 , 142 , 225 , 686 , 272 , 414 , - , - , - 
 전공대학 , 백석예술대학교 , 기존 , 서울 , 사립 , 28 ," 4,371 "," 25,870 "," 11,213 "," 14,657 "," 3,935 "," 1,493 "," 2,442 "," 7,485 "," 2,673 "," 4,812 ", 7 , - , 7 
 전공대학 , 정화예술대학교 , 기존 , 서울 , 사립 , 16 , 954 ," 2,957 ", 443 ," 2,514 ", 841 , 113 , 728 ," 1,727 ", 235 ," 1,492 ", - , - , - 
 전공대학 , 정화예술대학교 , 기존 , 서울 , 사립 , 17 ," 1,065 "," 6,595 "," 3,337 "," 3,258 ", 819 , 363 , 456 ," 1,435 ", 546 , 889 , - , - , - 
 전문대학 , 한국복지대학교 , 기존 , 경기 , 국립 , 27 , 414 ," 1,268 ", 689 , 579 , 291 , 167 , 124 , 667 , 365 , 302 , 5 , 2 , 3 
 전문대학 , 경남정보대학교 , 기존 , 부산 , 사립 , 91 ," 5,071 "," 44,155 "," 21,148 "," 23,007 "," 3,050 "," 1,614 "," 1,436 "," 6,665 "," 3,512 "," 3,153 ", 6 , 2 , 4 
 전문대학 , 경민대학교 , 기존 , 경기 , 사립 , 57 ," 2,322 "," 15,265 "," 7,230 "," 8,035 "," 2,064 "," 1,070 ", 994 ," 4,432 "," 2,215 "," 2,217 ", 7 , 4 , 3 
 전문대학 , 경복대학교 , 기존 , 경기 , 사립 , 79 ," 2,924 "," 13,406 "," 4,164 "," 9,242 "," 2,573 ", 741 ," 1,832 "," 6,455 "," 1,645 "," 4,810 ", 28 , 5 , 23 
 전문대학 , 계명문화대학교 , 기존 , 대구 , 사립 , 49 ," 2,931 "," 11,838 "," 4,862 "," 6,976 "," 2,303 ", 973 ," 1,330 "," 5,008 "," 1,960 "," 3,048 ", 108 , 76 , 32 
 전문대학 , 계원예술대학교 , 기존 , 경기 , 사립 , 35 ," 1,482 "," 6,072 "," 1,714 "," 4,358 "," 1,318 ", 401 , 917 ," 3,009 ", 895 ," 2,114 ", 3 , 2 , 1 
 전문대학 , 광주보건대학교 , 기존 , 광주 , 사립 , 23 ," 1,575 "," 8,896 "," 3,016 "," 5,880 "," 1,488 ", 474 ," 1,014 "," 3,733 "," 1,118 "," 2,615 ", 4 , 2 , 2 
 전문대학 , 기독간호대학교 , 기존 , 광주 , 사립 , 2 , 177 ," 1,063 ", 202 , 861 , 172 , 29 , 143 , 595 , 96 , 499 , - , - , - 
 전문대학 , 김포대학교 , 기존 , 경기 , 사립 , 72 ," 2,012 "," 13,704 "," 7,531 "," 6,173 "," 1,548 ", 936 , 612 ," 3,424 "," 2,030 "," 1,394 ", 57 , 28 , 29 
 전문대학 , 농협대학교 , 기존 , 경기 , 사립 , 5 , 179 ," 1,170 ", 734 , 436 , 179 , 119 , 60 , 444 , 296 , 148 , 2 , 1 , 1 
 전문대학 , 대구공업대학교 , 기존 , 대구 , 사립 , 23 ," 1,041 "," 5,471 "," 3,008 "," 2,463 ", 847 , 356 , 491 ," 1,661 ", 816 , 845 , 261 , 140 , 121 
 전문대학 , 대구보건대학교 , 기존 , 대구 , 사립 , 38 ," 2,727 "," 22,711 "," 7,671 "," 15,040 "," 2,727 "," 1,035 "," 1,692 "," 6,959 "," 2,425 "," 4,534 ", 82 , 57 , 25 
 전문대학 , 수성대학교 , 기존 , 대구 , 사립 , 48 ," 1,574 "," 9,503 "," 3,226 "," 6,277 "," 1,430 ", 530 , 900 ," 3,484 "," 1,223 "," 2,261 ", 167 , 92 , 75 
 전문대학 , 대구과학대학교 , 기존 , 대구 , 사립 , 37 ," 1,745 "," 13,061 "," 4,935 "," 8,126 "," 1,656 ", 646 ," 1,010 "," 4,093 "," 1,396 "," 2,697 ", 3 , - , 3 
